OTU	Size	Taxonomy	taxname	phylum
Otu000438	5005	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);	Otu000438_Turicibacter	Firmicutes
Otu000441	4977	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000441_Lachnospiraceae	Firmicutes
Otu000446	4762	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);	Otu000446_Faecalibacterium	Firmicutes
Otu000450	4646	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000450_Ruminococcaceae	Firmicutes
Otu000452	4608	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Gordonibacter(100);	Otu000452_Gordonibacter	Actinobacteria
Otu000459	4487	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);	Otu000459_Clostridiales_Incertae_Sedis_XI	Firmicutes
Otu000466	4372	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000466_Lachnospiraceae	Firmicutes
Otu000470	4203	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);	Otu000470_Clostridiales_unclassified	Firmicutes
Otu000483	3974	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000483_Lachnospiraceae	Firmicutes
Otu000486	3928	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000486_Ruminococcaceae	Firmicutes
Otu000500	3682	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);	Otu000500_Lactobacillales_unclassified	Firmicutes
Otu000502	3672	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);	Otu000502_Pseudoflavonifractor	Firmicutes
Otu000511	3535	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000511_Lachnospiraceae	Firmicutes
Otu000516	3472	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);	Otu000516_Erysipelotrichaceae	Firmicutes
Otu000519	3436	Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);	Otu000519_Firmicutes_unclassified	Firmicutes
Otu000556	3054	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000556_Lachnospiraceae	Firmicutes
Otu000560	2994	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);	Otu000560_Slackia	Actinobacteria
Otu000610	2434	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Asaccharobacter(100);	Otu000610_Asaccharobacter	Actinobacteria
Otu000620	2381	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000620_Ruminococcaceae	Firmicutes
Otu000652	2116	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu000652_Bacteroides	Bacteroidetes
Otu001005	668	Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Hydrotalea(100);	Otu001005_Hydrotalea	Bacteroidetes
